,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
23,11.92,-0.67,300491,0,通合科技,-22577.0,0.0,0.0,-22577.0,-0.29,-878669.0,-11.15,901246.0,11.44,1592981445,-0.29,-,-,-
24,0.16,0.0,900921,1,丹科B股,-23106.0,0.0,0.0,-23106.0,-45.04,11617.0,22.65,11489.0,22.4,1592981443,-45.04,-,-,-
25,0.508,2.63,900957,1,凌云Ｂ股,-23725.0,0.0,0.0,-23725.0,-4.24,2195.0,0.39,21530.0,3.85,1592981453,-4.24,-,-,-
26,0.45,-10.0,300028,0,金亚退,-25245.0,-6615.0,-2.62,-18630.0,-7.37,0.0,0.0,25245.0,9.99,1592981454,-9.99,-,-,-
27,0.424,-1.4,900941,1,东信Ｂ股,-28244.0,0.0,0.0,-28244.0,-22.65,-15829.0,-12.7,44073.0,35.35,1592981443,-22.65,-,-,-
28,1.81,-0.55,000572,0,ST海马,-28670.0,0.0,0.0,-28670.0,-0.24,-1345325.0,-11.23,1373994.0,11.47,1592981460,-0.24,-,-,-
29,36.4,1.11,688005,1,容百科技,-29815.0,495541.0,0.63,-525356.0,-0.67,-648581.0,-0.83,678396.0,0.86,1592981462,-0.04,-,-,-
30,4.11,-1.44,200625,0,长  安Ｂ,-31010.0,0.0,0.0,-31010.0,-0.68,-728311.0,-15.9,759322.0,16.57,1592981448,-0.68,-,-,-
31,13.17,1.23,200581,0,苏威孚Ｂ,-31442.0,0.0,0.0,-31442.0,-1.54,42551.0,2.09,-11110.0,-0.54,1592981412,-1.54,-,-,-
32,1.164,-0.94,900928,1,临港B股,-32782.0,0.0,0.0,-32782.0,-13.4,-13346.0,-5.46,46129.0,18.86,1592981456,-13.4,-,-,-
33,2.52,0.0,601326,1,XD秦港股,-33859.0,-1266804.0,-9.65,1232945.0,9.39,-1190730.0,-9.07,1224589.0,9.32,1592981454,-0.26,-,-,-
34,6.52,0.62,300410,0,正业科技,-37749.0,0.0,0.0,-37749.0,-0.12,-2412013.0,-7.69,2449762.0,7.81,1592981460,-0.12,-,-,-
35,4.73,-1.05,603011,1,合锻智能,-38918.0,0.0,0.0,-38918.0,-0.35,-27076.0,-0.24,65994.0,0.59,1592981460,-0.35,-,-,-
36,9.86,-2.38,600753,1,东方银星,-39195.0,0.0,0.0,-39195.0,-0.13,-141263.0,-0.47,180458.0,0.6,1592981461,-0.13,-,-,-
37,6.95,-0.43,603388,1,元成股份,-40499.0,0.0,0.0,-40499.0,-0.78,-944405.0,-18.28,984904.0,19.06,1592981459,-0.78,-,-,-
38,24.87,-0.04,300710,0,万隆光电,-40582.0,0.0,0.0,-40582.0,-0.44,102756.0,1.12,-62174.0,-0.68,1592981460,-0.44,-,-,-
